symbol,engine,signal_date,entry_date,entry_price,exit_date,exit_price,exit_reason,hold_days,pnl_pct,regime_state,yf_symbol,signal_close,signal_raw_close,signal_atr14,signal_bb_lower,tp_level,sl_level,activation_level,time_stop_date,partial_exit_fraction,activation_date,activation_price,signal_rsi14,signal_high_20d,signal_avg_dollar_volume_20d,signal_volume,market_cap,beta_1y
AEM,bull,2015-01-02,2015-01-05,27.200000762939453,2015-01-26,31.764999389648438,time_stop_day_15_close,15,16.7830827156773,bull,AEM,22.16132545471191,27.0,1.3950000490461076,17.916992992106113,,19.371325356619696,29.990000861031668,2015-01-26,0.5,2015-01-12,30.81999969482422,59.549279292871496,22.16132545471191,65690256.0879612,4399000.0,77880643912.75,1.3448000588048552
ALK,bull,2015-01-02,2015-01-05,60.810001373291016,2015-01-26,67.52000045776367,time_stop_day_15_close,15,11.034367592400397,bull,ALK,55.15901947021485,60.33000183105469,1.484999520438058,49.597188410286314,,52.18902042933873,63.780000414167134,2015-01-26,0.5,2015-01-20,64.5999984741211,68.26100533703077,55.15901947021485,74690868.27445984,1199600.0,5822999783.829575,2.3167747839693065
CDE,bull,2015-01-02,2015-01-05,5.300000190734863,2015-01-14,5.710000038146973,trailing_stop_close,8,7.735845899191585,bull,CDE,5.294054985046387,5.300000190734863,0.3878570965358189,3.9859003208244888,,4.518340791974749,6.075714383806501,2015-01-26,0.5,2015-01-12,6.099999904632568,62.34521398176033,5.294054985046387,21094226.76539898,2864400.0,16225766387.55968,2.668767585865813
DAL,bull,2015-01-02,2015-01-05,49.459999084472656,2015-01-26,50.150001525878906,time_stop_day_15_close,15,1.395071682528326,bull,DAL,42.834659576416016,49.18000030517578,1.4307141985212053,39.50690240639467,,39.973231179373606,52.321427481515066,2015-01-26,0.0,,,66.05596735866555,42.87820816040039,564984418.0182076,8637300.0,59346299935.192566,1.8540331881020526
KKR,bull,2015-01-02,2015-01-05,23.489999771118164,2015-01-26,24.61000061035156,time_stop_day_15_close,15,4.767989996366362,bull,KKR,18.038658142089844,23.489999771118164,0.45714296613420785,16.56161192142461,,17.124372209821427,24.40428570338658,2015-01-26,0.5,2015-01-26,24.61000061035156,66.9498226116282,18.038658142089844,54246504.52228546,2330100.0,82572881730.95609,1.5346184355721915
M,bull,2015-01-02,2015-01-05,64.7300033569336,2015-01-13,66.56500244140625,trailing_stop_close,7,2.8348509026859148,bull,M,40.514404296875,65.69000244140625,1.3371426718575614,36.98141682787319,,37.84011895315988,67.40428870064872,2015-01-26,0.5,2015-01-07,67.55000305175781,64.62211747521934,40.55140686035156,260909251.3199234,4503800.0,6565427091.021561,1.2338925352473953
SLM,bull,2015-01-02,2015-01-05,10.25,2015-01-26,9.279999732971191,time_stop_day_15_close,15,-9.46341723930545,bull,SLM,8.94844913482666,10.31999969482422,0.2657143047877723,8.3859302064017,,8.417020525251116,10.781428609575544,2015-01-26,0.0,,,62.33267901714154,8.965791702270508,38093134.47655678,2993400.0,4480969604.365511,1.0237614225535288
URBN,bull,2015-01-02,2015-01-05,33.900001525878906,2015-01-13,35.599998474121094,trailing_stop_close,7,5.014740034582088,bull,URBN,35.099998474121094,35.099998474121094,0.8028564453125,29.993645977144347,,33.494285583496094,35.505714416503906,2015-01-26,0.5,2015-01-08,36.689998626708984,64.7484895403674,35.25,73946858.06996346,1279200.0,6237659132.11496,1.156906968133444
VNO,bull,2015-01-02,2015-01-05,86.8785400390625,2015-01-26,91.44581604003906,time_stop_day_15_close,15,5.257081897236082,bull,VNO,56.71479797363281,87.3321304321289,1.3534763881138392,52.501314912207,,54.00784519740513,89.58549281529018,2015-01-26,0.5,2015-01-07,90.12687683105467,68.61101400533681,56.71479797363281,89800162.07191543,800975.0,7050844498.465759,1.1418587800073146
AEM,bull,2015-01-05,2015-01-06,27.5,2015-01-27,32.545000076293945,time_stop_day_15_close,15,18.345454822887074,bull,AEM,22.530681610107425,27.450000762939453,1.4214285441807337,17.70801338979518,,19.68782452174596,30.342857088361466,2015-01-27,0.5,2015-01-12,30.81999969482422,60.985885489336425,22.530681610107425,66875818.62742424,3106500.0,77880643912.75,1.3448000588048552
AEO,bull,2015-01-05,2015-01-06,13.869999885559082,2015-01-08,14.28499984741211,trailing_stop_close,3,2.9920689637864317,bull,AEO,10.200252532958984,13.899999618530272,0.37714290618896434,8.867047500470804,,9.445966720581056,14.62428569793701,2015-01-27,0.5,2015-01-07,14.630000114440918,56.964567088614466,10.200252532958984,73335556.37708187,3524500.0,3090890076.045677,1.8167807387324526
AU,bull,2015-01-05,2015-01-06,9.329999923706056,2015-01-27,11.205000400543213,time_stop_day_15_close,15,20.096468297637138,bull,AU,7.580108165740967,9.170000076293944,0.5278572014399936,6.269581989269336,,6.52439376286098,10.385714326586044,2015-01-27,0.5,2015-01-12,10.770000457763672,54.77251610532444,7.580108165740967,38829174.49023008,3890600.0,40207227847.933426,1.8655580964778078
CDE,bull,2015-01-05,2015-01-06,5.449999809265137,2015-01-27,6.320000171661377,time_stop_day_15_close,15,15.963309960437378,bull,CDE,5.433897972106934,5.440000057220459,0.390714236668178,4.01695055219999,,4.652469498770578,6.231428282601493,2015-01-27,0.5,2015-01-20,6.320000171661377,64.53584150804944,5.433897972106934,21285758.104979992,2997000.0,16225766387.55968,2.668767585865813
URBN,bull,2015-01-05,2015-01-06,35.25,2015-01-14,33.4042854309082,sl_intraday,7,-5.2360696995511935,bull,URBN,35.099998474121094,35.099998474121094,0.8478565216064453,30.240502100089195,,33.4042854309082,36.94571304321289,2015-01-27,0.0,,,64.7484895403674,35.25,76724218.45620155,2956600.0,6237659132.11496,1.156906968133444
VNO,bull,2015-01-05,2015-01-06,87.68330383300781,2015-01-27,91.40543746948242,time_stop_day_15_close,15,4.24497421260881,bull,VNO,56.85734939575195,87.55162048339844,1.3581804547991072,52.60687710155228,,54.14098848615374,90.39966474260602,2015-01-27,0.5,2015-01-08,90.43415832519533,69.38001195440741,56.85734939575195,90135252.98550797,997118.0,7050844498.465759,1.1418587800073146
AEM,bull,2015-01-06,2015-01-07,28.459999084472656,2015-01-28,32.15500068664551,time_stop_day_15_close,15,12.983140270685345,bull,AEM,23.82752990722656,29.030000686645508,1.4242857524326868,17.3739175447879,,20.978958402361187,31.30857058933803,2015-01-28,0.5,2015-01-15,31.36000061035156,65.60478035592178,23.82752990722656,71814986.41673088,5311200.0,77880643912.75,1.3448000588048552
AEO,bull,2015-01-06,2015-01-07,14.260000228881836,2015-01-28,14.260000228881836,time_stop_day_15_close,15,0.0,bull,AEO,10.236943244934082,13.949999809265137,0.37357146399361707,9.074501227991123,,9.489800316946848,15.00714315686907,2015-01-28,0.0,,,57.666802837921225,10.236943244934082,63842089.9452734,5722000.0,3090890076.045677,1.8167807387324526
AG,bull,2015-01-06,2015-01-07,6.130000114440918,2015-01-28,6.079999923706055,time_stop_day_15_close,15,-0.815663781425946,bull,AG,6.2723822593688965,6.360000133514404,0.39499994686671663,3.817885370729686,,5.4823823656354636,6.920000008174351,2015-01-28,0.0,,,68.96091513347396,6.2723822593688965,20453839.880788326,5724400.0,7994178542.738342,2.543399610183182
ALGN,bull,2015-01-06,2015-01-07,57.970001220703125,2015-01-14,61.25,trailing_stop_close,6,5.658096791837686,bull,ALGN,57.45000076293945,57.45000076293945,1.3135716574532645,55.12028941032819,,54.82285744803293,60.59714453560965,2015-01-28,0.5,2015-01-08,61.439998626708984,61.991297013284665,57.630001068115234,26449303.82534027,825000.0,12426103474.832886,1.602469450786563
ANF,bull,2015-01-06,2015-01-07,29.18000030517578,2015-01-28,26.1200008392334,time_stop_day_15_close,15,-10.486632741397262,bull,ANF,22.891868591308594,28.8799991607666,0.7921424593244283,21.12576089886837,,21.30758367265974,30.764285223824636,2015-01-28,0.0,,,53.041052717376,22.891868591308594,71107800.08114815,4246300.0,3931317849.9543,1.3066618449064935
AU,bull,2015-01-06,2015-01-07,9.5,2015-01-28,11.085000038146973,time_stop_day_15_close,15,16.684210927862875,bull,AU,8.05128288269043,9.739999771118164,0.5150000708443778,6.179967772042981,,7.021282741001674,10.530000141688756,2015-01-28,0.5,2015-01-12,10.770000457763672,59.940107077801954,8.05128288269043,40855879.7480464,6675800.0,40207227847.933426,1.8655580964778078
CDE,bull,2015-01-06,2015-01-07,5.619999885559082,2015-01-28,5.989999771118164,time_stop_day_15_close,15,6.583627990986596,bull,CDE,5.68361759185791,5.690000057220459,0.36357137135096956,4.036587423422573,,4.956474849155971,6.347142628261021,2015-01-28,0.0,,,68.1042741449632,5.68361759185791,21918335.561811924,3885200.0,16225766387.55968,2.668767585865813
OC,bull,2015-01-06,2015-01-07,36.279998779296875,2015-01-15,38.20000076293945,trailing_stop_close,7,5.2921776412468535,bull,OC,30.125648498535156,36.060001373291016,0.8378571101597377,27.225555479251973,,28.449934278215682,37.95571299961635,2015-01-28,0.5,2015-01-08,38.83000183105469,60.312301142560244,30.125648498535156,33315938.6520195,1993900.0,10660339262.424683,1.4298096621550576
VNO,bull,2015-01-06,2015-01-07,88.86851501464844,2015-01-28,91.7987060546875,time_stop_day_15_close,15,3.297220663084177,bull,VNO,57.31819915771485,88.26127624511719,1.312715802873884,52.712574391579174,,54.69276755196708,91.4939466203962,2015-01-28,0.5,2015-01-15,92.18270111083984,71.78646757293002,57.31819915771485,93247189.01432419,1614114.0,7050844498.465759,1.1418587800073146
WPM,bull,2015-01-06,2015-01-07,21.40999984741211,2015-01-28,23.104999542236328,time_stop_day_15_close,15,7.916859910809837,bull,WPM,18.827621459960938,21.799999237060547,0.9235713141305106,16.310044484770692,,16.980478831699916,23.25714247567313,2015-01-28,0.5,2015-01-16,23.309999465942383,60.127276879431626,18.844898223876953,115138859.42038536,6312100.0,51465997167.89787,1.4844499655194954
AEO,bull,2015-01-07,2015-01-08,14.699999809265137,2015-01-29,14.289999961853027,time_stop_day_15_close,15,-2.7891146444348536,bull,AEO,10.73594856262207,14.630000114440918,0.39714288711547824,9.18050046412956,,9.941662788391113,15.494285583496094,2015-01-29,0.0,,,65.83265798060953,10.73594856262207,64488777.897257805,7981200.0,3090890076.045677,1.8167807387324526
ALGN,bull,2015-01-07,2015-01-08,60.0,2015-01-14,62.114999771118164,trailing_stop_close,5,3.524999618530278,bull,ALGN,59.56999969482422,59.56999969482422,1.387857164655413,54.67851267762061,,56.794285365513396,62.77571432931082,2015-01-29,0.5,2015-01-12,63.16999816894531,72.29607696857572,59.56999969482422,27825681.954536438,1053500.0,12426103474.832886,1.602469450786563
